"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"WIPRO","EQ","03-Jan-2022","        715.35","        718.00","        726.80","        716.00","        718.95","        718.70","        720.13","    4640405","          3341671783.10","      86315","    1796855","         38.72"
"WIPRO","EQ","04-Jan-2022","        718.70","        722.75","        723.10","        711.55","        722.00","        721.50","        718.18","    5114400","          3673042530.15","      94475","    2097300","         41.01"
"WIPRO","EQ","05-Jan-2022","        721.50","        720.00","        720.85","        703.00","        713.60","        713.50","        711.37","    7355632","          5232609495.95","     135056","    3418195","         46.47"
"WIPRO","EQ","06-Jan-2022","        713.50","        705.80","        712.25","        699.95","        706.20","        705.75","        706.11","    6441610","          4548514019.30","     113645","    3301841","         51.26"
"WIPRO","EQ","07-Jan-2022","        705.75","        708.00","        721.50","        707.60","        708.10","        711.50","        714.64","    6560163","          4688131223.10","     108556","    2744480","         41.84"
"WIPRO","EQ","10-Jan-2022","        711.50","        709.00","        709.00","        690.00","        694.85","        693.50","        696.03","   13768910","          9583640470.45","     299201","    6950923","         50.48"
"WIPRO","EQ","11-Jan-2022","        693.50","        695.00","        698.45","        689.00","        694.75","        694.15","        693.99","    7743729","          5374054807.25","     162859","    3324495","         42.93"
"WIPRO","EQ","12-Jan-2022","        694.15","        700.00","        701.75","        683.20","        691.00","        691.35","        689.99","   11730341","          8093849938.85","     231777","    4673009","         39.84"
"WIPRO","EQ","13-Jan-2022","        691.35","        663.20","        666.00","        648.00","        650.05","        649.75","        653.90","   30752967","         20109385971.10","     549500","   12454314","         40.50"
"WIPRO","EQ","14-Jan-2022","        649.75","        649.25","        649.25","        636.50","        640.25","        639.80","        640.71","   13257274","          8494094446.50","     295017","    7181140","         54.17"
"WIPRO","EQ","17-Jan-2022","        639.80","        639.50","        651.65","        633.05","        646.20","        646.65","        644.69","   10228938","          6594447611.45","     214235","    4301516","         42.05"
"WIPRO","EQ","18-Jan-2022","        646.65","        648.90","        650.00","        631.15","        634.90","        633.30","        640.09","    7164990","          4586253613.25","     208075","    3788717","         52.88"
"WIPRO","EQ","19-Jan-2022","        633.30","        631.00","        631.65","        619.00","        623.00","        621.15","        622.39","    8691383","          5409466617.85","     260851","    4722203","         54.33"
"WIPRO","EQ","20-Jan-2022","        621.15","        620.65","        622.40","        610.50","        616.00","        615.20","        615.09","    8413562","          5175070110.25","     236580","    4359040","         51.81"
"WIPRO","EQ","21-Jan-2022","        615.20","        610.00","        611.00","        600.80","        605.50","        605.05","        605.79","    9823347","          5950865121.35","     271103","    5129054","         52.21"
"WIPRO","EQ","24-Jan-2022","        605.05","        605.50","        605.50","        568.45","        572.00","        572.75","        580.89","   13075358","          7595394133.15","     358789","    7681972","         48.51"
"WIPRO","EQ","25-Jan-2022","        572.75","        562.50","        572.00","        550.70","        563.50","        562.70","        562.21","   17356185","          9757763136.60","     387154","    8499268","         48.97"
"WIPRO","EQ","27-Jan-2022","        562.70","        555.00","        556.90","        537.20","        545.30","        544.75","        544.98","   15675872","          8543041599.75","     364388","    7038986","         44.90"
"WIPRO","EQ","28-Jan-2022","        544.75","        550.10","        564.95","        546.65","        552.00","        552.15","        557.50","   14949890","          8334594506.35","     318562","    6912718","         46.24"
"WIPRO","EQ","31-Jan-2022","        552.15","        569.00","        574.40","        562.55","        573.00","        572.60","        569.95","   13126087","          7481206036.45","     239165","    5345041","         40.72"
"WIPRO","EQ","01-Feb-2022","        572.60","        579.90","        582.40","        566.45","        577.50","        576.65","        575.24","   10460101","          6017065488.85","     208035","    3738761","         35.74"
"WIPRO","EQ","02-Feb-2022","        576.65","        582.00","        590.00","        575.00","        589.40","        588.00","        585.60","    8184413","          4792799141.25","     150980","    3195626","         39.05"
"WIPRO","EQ","03-Feb-2022","        588.00","        584.70","        588.80","        576.15","        577.80","        578.25","        582.86","    7041390","          4104124109.35","     129088","    3095774","         43.97"
"WIPRO","EQ","04-Feb-2022","        578.25","        577.00","        577.80","        568.05","        573.00","        571.75","        573.73","    6816779","          3910992144.50","     138822","    3149406","         46.20"
"WIPRO","EQ","07-Feb-2022","        571.75","        571.90","        573.80","        555.60","        557.80","        557.00","        561.96","    7545679","          4240361819.80","     180732","    3845730","         50.97"
"WIPRO","EQ","08-Feb-2022","        557.00","        561.40","        565.80","        554.45","        559.90","        560.25","        560.20","    6976907","          3908437097.95","     127178","    2790796","         40.00"
"WIPRO","EQ","09-Feb-2022","        560.25","        564.40","        570.75","        563.30","        569.50","        568.95","        568.38","    5103738","          2900883008.30","      97434","    2427954","         47.57"
"WIPRO","EQ","10-Feb-2022","        568.95","        572.40","        574.75","        566.20","        573.90","        573.65","        570.83","    5801912","          3311918818.10","     131663","    3359182","         57.90"
"WIPRO","EQ","11-Feb-2022","        573.65","        566.00","        566.00","        557.10","        561.25","        561.45","        560.79","    7721229","          4329993161.55","     159312","    3511364","         45.48"
"WIPRO","EQ","14-Feb-2022","        561.45","        550.00","        557.15","        540.00","        542.45","        541.70","        549.39","    8120773","          4461505135.35","     190993","    3474656","         42.79"
"WIPRO","EQ","15-Feb-2022","        541.70","        545.60","        565.25","        543.25","        565.00","        563.35","        554.34","    6838496","          3790829514.75","     152740","    1959576","         28.66"
"WIPRO","EQ","16-Feb-2022","        563.35","        565.15","        570.30","        557.55","        561.50","        563.90","        563.44","    7303911","          4115310264.70","     119985","    3578751","         49.00"
"WIPRO","EQ","17-Feb-2022","        563.90","        572.00","        572.40","        561.15","        563.95","        564.90","        566.54","    7114420","          4030613862.75","     127323","    2213735","         31.12"
"WIPRO","EQ","18-Feb-2022","        564.90","        559.00","        565.70","        555.35","        562.50","        562.45","        560.97","    6705919","          3761846880.05","     112569","    2300868","         34.31"
"WIPRO","EQ","21-Feb-2022","        562.45","        555.75","        572.70","        555.40","        571.90","        570.80","        566.29","    8767001","          4964677275.10","     144477","    3867641","         44.12"
"WIPRO","EQ","22-Feb-2022","        570.80","        556.25","        569.00","        556.10","        562.20","        564.15","        563.96","   10745062","          6059738465.30","     148389","    3984807","         37.09"
"WIPRO","EQ","23-Feb-2022","        564.15","        569.20","        570.90","        562.65","        566.00","        567.10","        566.59","    7204256","          4081857513.15","     109133","    3110638","         43.18"
"WIPRO","EQ","24-Feb-2022","        567.10","        548.00","        556.90","        531.15","        538.30","        537.15","        544.12","   13476944","          7333030977.60","     245211","    6519106","         48.37"
"WIPRO","EQ","25-Feb-2022","        537.15","        548.00","        558.75","        547.50","        556.00","        555.25","        554.50","    7961312","          4414578976.70","     135467","    3416071","         42.91"
"WIPRO","EQ","28-Feb-2022","        555.25","        551.00","        560.10","        544.10","        556.30","        555.80","        554.54","    9158437","          5078706365.25","     114738","    4772984","         52.12"
"WIPRO","EQ","02-Mar-2022","        555.80","        555.00","        558.30","        550.40","        557.10","        555.20","        554.96","    8177055","          4537934615.45","     145582","    4943603","         60.46"
"WIPRO","EQ","03-Mar-2022","        555.20","        563.00","        575.95","        560.35","        570.45","        569.55","        571.02","   12955663","          7397906511.30","     184234","    6234900","         48.12"
"WIPRO","EQ","04-Mar-2022","        569.55","        561.00","        580.00","        554.05","        573.55","        575.30","        569.46","   13474186","          7673070742.40","     186880","    6992617","         51.90"
"WIPRO","EQ","07-Mar-2022","        575.30","        563.00","        579.65","        562.25","        572.00","        571.85","        573.14","   10556167","          6050204622.85","     186568","    4671181","         44.25"
"WIPRO","EQ","08-Mar-2022","        571.85","        572.00","        590.75","        572.00","        587.25","        587.45","        580.96","   11019999","          6402231935.55","     195154","    5470289","         49.64"
"WIPRO","EQ","09-Mar-2022","        587.45","        588.00","        596.40","        582.15","        587.70","        585.50","        591.12","   11763616","          6953723022.40","     233075","    5811285","         49.40"
"WIPRO","EQ","10-Mar-2022","        585.50","        595.00","        596.50","        584.60","        587.45","        588.25","        589.55","    8080983","          4764121467.25","     155438","    3741997","         46.31"
"WIPRO","EQ","11-Mar-2022","        588.25","        587.00","        590.00","        582.40","        586.10","        586.20","        586.57","    4963594","          2911514942.10","      95181","    2466747","         49.70"
"WIPRO","EQ","14-Mar-2022","        586.20","        586.40","        600.80","        586.00","        597.70","        598.15","        596.30","    7503221","          4474192625.10","     134598","    3394503","         45.24"
"WIPRO","EQ","15-Mar-2022","        598.15","        603.70","        603.70","        584.30","        587.40","        587.70","        593.02","    6926622","          4107649657.15","     115955","    2794377","         40.34"
"WIPRO","EQ","16-Mar-2022","        587.70","        595.25","        599.45","        592.50","        598.60","        598.25","        596.28","    5575148","          3324368756.95","      94616","    2664615","         47.79"
"WIPRO","EQ","17-Mar-2022","        598.25","        605.00","        611.00","        599.00","        602.95","        601.20","        605.00","    8440645","          5106630935.30","     124518","    4413922","         52.29"
"WIPRO","EQ","21-Mar-2022","        601.20","        605.10","        616.00","        598.00","        600.50","        600.00","        606.59","    7796476","          4729227901.70","     123204","    3082277","         39.53"
"WIPRO","EQ","22-Mar-2022","        600.00","        603.40","        611.00","        596.15","        610.50","        610.05","        604.33","    7790250","          4707899108.05","     110911","    2573280","         33.03"
"WIPRO","EQ","23-Mar-2022","        610.05","        613.95","        615.00","        607.70","        610.60","        611.20","        610.96","    5696918","          3480576433.10","     109171","    3211636","         56.37"
"WIPRO","EQ","24-Mar-2022","        611.20","        607.00","        613.80","        605.80","        611.10","        610.55","        610.70","    3875745","          2366936828.25","      78824","    1710194","         44.13"
"WIPRO","EQ","25-Mar-2022","        610.55","        611.00","        614.00","        597.25","        604.45","        603.35","        605.05","    5993097","          3626115210.65","     122975","    3345680","         55.83"
"WIPRO","EQ","28-Mar-2022","        603.35","        608.00","        609.00","        597.10","        600.00","        600.20","        601.36","    5738405","          3450847646.85","      87595","    3272847","         57.03"
"WIPRO","EQ","29-Mar-2022","        600.20","        603.00","        605.35","        599.15","        603.90","        602.50","        602.19","    4701003","          2830880767.40","      73506","    2927466","         62.27"
"WIPRO","EQ","30-Mar-2022","        602.50","        605.10","        609.30","        599.50","        600.10","        600.80","        604.10","    7744382","          4678373317.15","     116562","    5449810","         70.37"
